id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_lahir_hidup,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,116630,ORANG,2019
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,44128,ORANG,2019
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,41161,ORANG,2019
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,72172,ORANG,2019
5,32,JAWA BARAT,3205,KABUPATEN GARUT,51486,ORANG,2019
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30724,ORANG,2019
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,19146,ORANG,2019
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19454,ORANG,2019
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,48414,ORANG,2019
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,20437,ORANG,2019
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,18813,ORANG,2019
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,34585,ORANG,2019
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,31918,ORANG,2019
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,19273,ORANG,2019
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,44850,ORANG,2019
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,79734,ORANG,2019
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,30337,ORANG,2019
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,6074,ORANG,2019
19,32,JAWA BARAT,3271,KOTA BOGOR,20195,ORANG,2019
20,32,JAWA BARAT,3272,KOTA SUKABUMI,5728,ORANG,2019
21,32,JAWA BARAT,3273,KOTA BANDUNG,41834,ORANG,2019
22,32,JAWA BARAT,3274,KOTA CIREBON,5491,ORANG,2019
23,32,JAWA BARAT,3275,KOTA BEKASI,49545,ORANG,2019
24,32,JAWA BARAT,3276,KOTA DEPOK,43856,ORANG,2019
25,32,JAWA BARAT,3277,KOTA CIMAHI,10805,ORANG,2019
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11710,ORANG,2019
27,32,JAWA BARAT,3279,KOTA BANJAR,3031,ORANG,2019
